"","SNP Name","Position (cM)","Mean LOD","Mean P Value","Variance LOD","Variance P Value","Joint LOD","Joint P Value","Mean Est Intercept","Mean SE Intercept","Var Est Intercept","Var SE Intercept","Mean Est QTL","Mean SE QTL","Var Est QTL","Var SE QTL","Mean Est plotstructure","Mean SE plotstructure","A Mean Est","A Mean Lower Bound","A Mean Upper Bound","A Standard Deviation Est","A Standard Deviation Lower Bound","A Standard Deviation Upper Bound","B Mean Est","B Mean Lower Bound","B Mean Upper Bound","B Standard Deviation Est","B Standard Deviation Lower Bound","B Standard Deviation Upper Bound"
"11","IDP1464",21.17,5.00952132840334,0.0816951482191835,4.60873117789153,0.0998221088190873,6.71335885118006,0.151833727025757,62.4431507541823,0.942235262666067,4.99795296381011,0.142549692702798,-0.627166889734204,0.296606659384334,-0.0276302447256333,-0.0276302447256333,-0.915876630540216,0.609126403426,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504,59.6290650406504
"12","fus6",22.62,3.64484108433872,0.161634035044893,3.84221642786757,0.14644458024568,5.02769248934863,0.284467857434364,62.2194535537038,0.946910589568842,5.00700080812003,0.146106794215656,-0.376506743695738,0.300538193068416,-0.0384277342464827,-0.0384277342464827,-0.935888462627458,0.610052143128705,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111,59.7611111111111
"13","AY109692",23.62,4.35379145141638,0.113392987785378,4.60950053909141,0.0997837165752285,6.10098962783796,0.19173218241072,62.2372097836173,0.946134477980892,5.00519580166068,0.144978968016771,-0.415200469563459,0.300821476305655,-0.0356217456770098,-0.0356217456770098,-0.913208033558238,0.609681782104923,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05,62.05
"14","mmp102",24.42,5.10789170542517,0.0777741743049953,4.64162089611912,0.0981939722332114,6.95787520422014,0.138131144008206,62.5891136005571,0.938924749846519,4.99876393338637,0.14531046946253,-0.741918389742957,0.298276255596642,-0.0317245659953919,-0.0317245659953919,-0.948523766116951,0.608116710729109,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979,59.3109947643979
"15","AY110314",29.42,6.32837577008831,0.0422484384745523,4.93499182135908,0.0847969324582855,8.42724275355152,0.0771235436009294,62.7991014323274,0.940542001935881,5.02258673559922,0.155326931061466,-1.01523720919713,0.3016049280097,-0.0514349209143403,-0.0514349209143403,-0.92682998610392,0.607497585609142,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011,59.9746070133011
"16","umc94a",38.62,3.71955956404628,0.155706916054733,2.44363876402568,0.294693518800669,5.25195994224009,0.26240782998196,62.8684526631446,0.918038636063841,4.96594029852697,0.146478338998201,-0.816210445112224,0.300247613525242,-0.0370114270285582,-0.0370114270285582,-1.16838627131268,0.603672992642918,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028,59.3981042654028
"17","gpm331",38.71,3.37704812867016,0.184792064015619,2.03581388285408,0.361350476919479,4.62357614630296,0.328144956967732,62.8484247198889,0.919416524489055,4.97218969890475,0.146978287257966,-0.808793713039384,0.300410236834565,-0.038582887806567,-0.038582887806567,-1.15930335797426,0.604043197895871,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486,60.20737913486
"18","lim179",47.02,4.79870516586924,0.0907767046567751,4.47101662117311,0.106937758440785,6.34287926773169,0.174963408414495,62.2421117940806,0.928788289950397,4.98870275759808,0.142869251575961,-0.539219330642805,0.301383735599224,-0.0032111804537857,-0.0032111804537857,-0.840063033187669,0.610489899550912,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211,60.2231075697211
"19","IDP755",52.47,6.12690307144102,0.0467261396329098,5.39700890017687,0.0673060971341275,8.28253191044884,0.0817600442513492,62.4292124551555,0.928271022161348,5.01562834957846,0.14888133116197,-0.781205283889731,0.298728548886407,-0.0246196107780648,-0.0246196107780648,-0.805172351472316,0.610597754891155,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984,59.3562992125984
"20","AY107629",54.63,1.81144671102791,0.404249363311184,0.691808923046385,0.707580085000891,2.51217326963562,0.642457315164661,62.8244773854516,0.920938324429802,4.98645955829947,0.150918814160275,-0.859494000501914,0.300325978522516,-0.0228110406980679,-0.0228110406980679,-0.97716966861832,0.606891426212571,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799,59.5678391959799
"21","mmp49",56.12,5.89270309289535,0.0525310137110591,4.55996580430354,0.102285955570331,7.57296143805298,0.108534705387058,62.5758499288596,0.926996276212397,5.00795264250958,0.165738851769793,-0.884257927080373,0.298467006235013,-0.0247210447600168,-0.0247210447600168,-0.809844521876643,0.609915539821111,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836,59.9729458917836
"22","cdo1081a",57.82,6.4851154205465,0.0390638531957922,4.66346897446175,0.0971271351285061,8.26430970024267,0.0823621550965814,62.6895910239221,0.928113171187194,5.01524693672825,0.153811692658289,-0.999146109291267,0.298889285098678,-0.0320772075586045,-0.0320772075586045,-0.793369360926653,0.609370735306809,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936,59.3678606001936
"23","asg31",65.22,4.15310294060841,0.125361781457256,7.1542569078297,0.0279558596459238,8.44812457076835,0.0764753378973997,62.1525168676366,0.93357769091222,5.06888535548901,0.147653913117261,-0.339503496579638,0.298619599888077,-0.114017874837869,-0.114017874837869,-0.920063062162626,0.607118006175443,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161,60.1228893058161
"24","npi415",66.02,0.848669830618754,0.654204742030684,3.58240581129508,0.166759453081793,4.07157563084578,0.396405798849684,62.319019996427,0.929462587340884,5.05981142781199,0.148348961003804,-0.359679434516475,0.299084881505562,-0.109651703144891,-0.109651703144891,-1.01357005842853,0.604894003329241,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86,59.86
"25","ufg31",71.62,4.41611170361197,0.109914130286063,9.13517255447054,0.0103829911581063,10.6486442829991,0.0308098977861435,61.5257960868074,0.931914200963165,5.07839055562931,0.145213032188176,0.409967303112286,0.298060414501622,-0.143881384338378,-0.143881384338378,-1.00840674717178,0.604358454763773,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269,61.53216374269
"26","gpm330",71.91,4.38737816284806,0.11150463923887,9.02791433614319,0.0109550234203154,10.5566104720763,0.0320260655646641,61.5258220890073,0.931946324165377,5.07746494619327,0.14526217695428,0.412604871503745,0.298058236521144,-0.144108093836001,-0.144108093836001,-1.00883159974607,0.604457718405728,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506,60.9424379232506
"27","ufg33",72.02,3.5332948942289,0.170904997487483,8.08162806455906,0.017583153333927,9.26145423978056,0.0548864630737053,61.8360897152708,0.92397660751112,5.03943519809512,0.152716089949528,0.277658448747935,0.298835739981427,-0.125052400201132,-0.125052400201132,-1.15169677464072,0.602624300889398,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088,61.2245614035088
"28","ufg32",72.82,4.2174217041533,0.121394360892177,7.80602161825269,0.0201810585682573,9.10580398250417,0.0585086121791607,61.6353038056886,0.930314788702944,5.05819126333058,0.14832940885918,0.308191462521835,0.297805298996799,-0.121780516861474,-0.121780516861474,-1.00246757306415,0.605920712966708,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272,61.5352644836272
"29","ufg34",74.42,4.27682584658239,0.11784171853648,7.77063214013279,0.0205413352340884,9.13525252144685,0.0578063028928969,61.6386205828252,0.930305837930693,5.05663526987206,0.148036875785283,0.312323450732167,0.2977991110864,-0.121833629818805,-0.121833629818805,-1.00566093012726,0.606063539006621,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155,60.1257763975155
"30","AY108650",77.57,1.02024214829422,0.600422878723358,6.17124947084578,0.0457014736503796,7.1992502559637,0.125726002685956,61.6215336328426,0.930709120120411,5.08066581713179,0.144582342968059,0.604901975529138,0.302694837746951,-0.130373798016419,-0.130373798016419,-1.12617740182028,0.602191698691683,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931,62.2170160295931
"31","gpm495",80.45,2.8757707772367,0.237429298911709,9.94167696730353,0.00693732875865206,10.5558734937338,0.0320359886163023,61.4903669504727,0.928740991704611,5.10840128383347,0.145794266637146,0.381069782194408,0.296889823033404,-0.164735349202404,-0.164735349202404,-0.972620673660912,0.603109529825831,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042,61.1014084507042
"32","gpm83b",80.75,3.70061044845244,0.157189181044712,10.1004457219049,0.00640790521525445,11.0707692250397,0.0257800739511959,61.5212849419184,0.927581079084069,5.09568283559707,0.145037497309149,0.378336360672993,0.296463131119774,-0.165368224569274,-0.165368224569274,-0.977253422817532,0.603367793323444,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947,61.1302631578947
"33","gpm767",80.94,4.06625250615915,0.130925574203877,10.2091606899118,0.00606888521913539,11.4048149291639,0.0223720989374501,61.5618466333616,0.926493036723926,5.08932789687409,0.145306074585775,0.363608173835904,0.29626987815095,-0.16389062334523,-0.16389062334523,-0.988710625475852,0.603052966146313,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472,61.1342925659472
"34","bnlg1014",81.12,3.99362521124302,0.135767338356855,11.2964581946094,0.00352375147374274,12.4213297532787,0.0144783085210282,61.8787452627381,0.921160591226563,5.08631024668834,0.174199750496897,0.0438318053214849,0.292582324541569,-0.179170569918959,-0.179170569918959,-0.998854655741171,0.601248499219573,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831,60.8009313154831
"35","umc1363a",82.02,4.01284009194577,0.134469207593952,11.5149868659158,0.00315901997822456,12.6694180991675,0.0130092933373346,61.8541359462333,0.92387953809481,5.09181677623684,0.168900616514397,0.109515588487055,0.292529546366614,-0.181506504995186,-0.181506504995186,-1.0229416681393,0.600839464433738,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402,60.1883745963402
"36","gst12",83.52,0.0347313241601115,0.982784251989642,7.81411207439925,0.0200995864812751,7.851142047572,0.0971857860787183,62.30805320617,0.916307471542422,5.07301849391033,0.176468018663377,0.112786841859219,0.293448534786062,-0.184066025169099,-0.184066025169099,-1.29412299235525,0.597604480857928,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195,60.4805194805195
"37","umc1269",84.62,0.161187211887314,0.922568541642895,7.85850517950006,0.0196583599233404,7.97707399864029,0.0924216223999048,62.2919737669835,0.91628485402032,5.07429593614031,0.179961803055571,0.169595658376411,0.293522246241739,-0.18644027184065,-0.18644027184065,-1.30279279018766,0.597049074457343,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567,60.8069129916567
"38","umc2012",85.72,0.304354026013321,0.858836242099669,4.19205018732358,0.122944149767307,4.54705495688032,0.337004385497653,62.5878802972578,0.922185243080655,5.05648493493469,0.149279810982407,-0.352264776513463,0.297703966456211,-0.129862059944209,-0.129862059944209,-1.2266996164101,0.601551934699478,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939,60.1432225063939
"39","umc1977",87.52,5.20096547367693,0.0742377322747789,7.24454007239502,0.0267219478017752,9.49724678587133,0.0498038505970992,62.482894122507,0.925025263607753,5.05150007328477,0.148024422983637,-0.685585799488795,0.297849543732405,-0.117723298227185,-0.117723298227185,-1.02565345406439,0.605390816654756,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881,59.3688118811881
"40","IDP553",88.91,4.07539352099413,0.13032854330223,11.0425017802505,0.00400084019917747,12.2318991972468,0.0157075952194382,62.1246641213016,0.92200391725759,5.07750981909973,0.174365647074834,-0.157803769623563,0.293566686829673,-0.179089653850593,-0.179089653850593,-1.05841162289151,0.601480901432152,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667,60.0494791666667
"41","IDP4043",89.33,4.03383639855516,0.133064913383216,10.91334800599,0.00426772661154969,12.0633834504887,0.0168861012836758,62.0524567275571,0.923200396593653,5.07722559886036,0.182462478114662,-0.0996929131842981,0.296057190261218,-0.178322030719635,-0.178322030719635,-1.03859424452423,0.601751197864596,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038,60.0604534005038
"42","php20603",90.02,0.561148871079727,0.755349717085629,8.45102700087813,0.0146178265216932,8.82960496430163,0.0655025583437678,62.3120527953241,0.918896426013303,5.08260228408846,0.166372451159912,-0.208674268477888,0.301741281945598,-0.192234997239033,-0.192234997239033,-1.15016815404446,0.596300152181633,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836,59.6715039577836
"43","sgb101",90.74,3.63109614592585,0.16274868578775,13.9007590186275,0.00095827141175079,15.1140222239537,0.00447047705669454,62.3131621227868,0.915241458417264,5.10117917729031,0.162599059446818,-0.245627430775148,0.305119193823256,-0.192174183046364,-0.192174183046364,-1.16251948438723,0.58638621775776,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379,60.9187956204379
"44","IDP1437",91.9,4.044075730957,0.13238540635244,11.9452116340896,0.00254759419764959,13.0868629736942,0.0108590732523239,61.861398282183,0.935871486008045,5.08972660074917,0.188679781408749,0.0894355802927967,0.297784698753171,-0.187746795364369,-0.187746795364369,-1.02473468878791,0.601284795424583,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103,60.4547413793103
"45","IDP847",93.03,4.19537426140281,0.122739981750991,9.03957885468328,0.0108913168406465,10.3139386387359,0.0354587703336214,62.165481263866,0.939208644333368,5.07217287733528,0.153605901832947,-0.237525843160988,0.296162528790541,-0.144226153850449,-0.144226153850449,-1.01418659777026,0.604680280618267,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868,59.5935288169868
"46","gpm125",96.14,4.10250544438333,0.128573735487743,8.94511095557681,0.0114180998354511,10.1775030626457,0.0375414931509051,62.1709037675395,0.93932314878407,5.07180681429736,0.15366310188157,-0.23854368900359,0.296210178519455,-0.144146025798988,-0.144146025798988,-1.01844810681759,0.604787350109591,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903,61.0772946859903
"47","lls1",97.12,4.11177682534467,0.127979086814572,8.9257185109615,0.0115293507549913,10.1691075162484,0.0376734239128511,62.1670685079285,0.940795758384497,5.07324761631192,0.154631405152313,-0.22555404558933,0.295398449050526,-0.14330981996219,-0.14330981996219,-1.02224078977312,0.604782638965298,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202,61.0032188841202
"48","php20689",99.42,4.16687393886512,0.124501567918652,8.99388130018393,0.0111430348868404,10.2569524920772,0.0363147929939796,62.1636999807755,0.9408497575775,5.07395684583207,0.154771752619639,-0.224720799409374,0.295453975238499,-0.143507370400139,-0.143507370400139,-1.02163946880804,0.60469916539434,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244,59.893899204244
"49","umc1685",101.32,0.119692546497796,0.941909319114719,4.90027159835399,0.0862818686969961,4.99295661447668,0.288020954379198,62.4187542001743,0.939463436828453,5.05577605501394,0.165280426370794,-0.161686522442563,0.295323596267157,-0.148929630345977,-0.148929630345977,-1.18410233599432,0.60495861147129,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223,60.3800205973223
"50","gpm557b",106.62,4.08954781934691,0.129409444893774,7.99732059813477,0.0183401928110187,9.2574301299393,0.0549773564797541,61.8104599185277,0.940602357080372,5.06038916103194,0.158359064199845,0.230120256026532,0.299805610841986,-0.12722428784025,-0.12722428784025,-1.09837553680527,0.606659108374806,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341,61.3041575492341
"51","umc1160",106.63,4.08994732531837,0.129383597552402,7.9978260089729,0.018335558730462,9.25814740763164,0.0549611446769199,61.8105326756666,0.940601556797265,5.06039115910255,0.158358063926066,0.230102631992121,0.299805382339306,-0.12722721056937,-0.12722721056937,-1.09839042264321,0.606658632132452,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923,60.4826923076923
"52","gpm584",107.6,2.35327478983605,0.308313734815665,3.461031110158,0.177193033648677,5.25364090847027,0.262248146945858,61.518243319901,0.928053013318454,5.01753089000959,0.15007637275293,0.441319659431403,0.300988971114898,-0.103154449419397,-0.103154449419397,-1.05856180272447,0.606805684277219,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961,61.7705802968961
"53","gpm346b",108.13,4.18724468580867,0.123239909091966,6.63327510603862,0.0362745983361345,7.99010772211245,0.0919412340806967,61.7357290666282,0.921884982300404,5.02204692233904,0.14648158075668,0.32851822552542,0.296628500411837,-0.102309455791408,-0.102309455791408,-1.07985451480956,0.608637499855412,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192,61.5513905683192
"54","gpm33e",108.55,4.20581348267513,0.12210099591612,6.63294110253268,0.0362806567635147,8.01194819911647,0.0911414958661786,61.7277071777074,0.921499637391321,5.02132354535223,0.145928081314867,0.337337133732212,0.295696831627582,-0.102048637608608,-0.102048637608608,-1.07858969640715,0.608604393442321,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774,61.9808429118774
"55","umc2224",109.23,4.08439195027041,0.129743484352275,6.67407570258878,0.0355420828813555,7.92618138782813,0.0943199999328238,61.8332781527786,0.923041940569907,5.02862698963214,0.151078082897659,0.238736424168429,0.295725901217781,-0.102637730258186,-0.102637730258186,-1.08902230408155,0.608086746868421,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247,60.5246913580247
"56","gpm556",110.49,4.12680949709612,0.127020759081314,6.67650418112639,0.0354989524792391,7.97144124163504,0.0926299579183878,61.8103573609868,0.923270423094523,5.02806119082439,0.149466185697029,0.265852256322858,0.296518909007388,-0.10258188630531,-0.10258188630531,-1.08988096325901,0.608129408749587,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365,62.1516245487365
